         4167088 function calls (4151322 primitive calls) in 33.934 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
       40    0.000    0.000    0.001    0.000 _inspect.py:120(getargspec)
       21    0.000    0.000    0.040    0.002 sre_parse.py:675(parse)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
       12    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.184    0.184 vecmath.py:1(<module>)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
        3    0.000    0.000    0.002    0.001 gettext.py:421(find)
       23    0.000    0.000    0.002    0.000 core.py:5997(getdoc)
      107    0.000    0.000    0.000    0.000 {range}
       13    0.000    0.000    0.000    0.000 sceneparser.py:72(parseArgDict)
      118    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.079    0.079 type_check.py:3(<module>)
       84    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
        1    0.000    0.000    0.726    0.726 main.py:37(write_image)
       19    0.000    0.000    0.001    0.000 nosetester.py:140(__init__)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
      145    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.007    0.007 _internal.py:6(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:88(NoseTester)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
       50    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.006    0.006 polynomial.py:4(<module>)
        4    0.000    0.000    0.005    0.001 sceneparser.py:43(parseModule)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
       38    0.000    0.000    0.000    0.000 collections.py:353(<genexpr>)
       19    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
       21    0.000    0.000    0.037    0.002 sre_compile.py:478(_code)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        6    0.000    0.000    0.000    0.000 gettext.py:130(_expand_lang)
      124    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       26    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
       40    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
        1    0.000    0.000    0.000    0.000 {PIL._imaging.fill}
       44    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'ImagingDecoder' objects}
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       95    0.000    0.000    0.000    0.000 {max}
       38    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       12    0.000    0.000    0.000    0.000 inspect.py:744(getargs)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
       90    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       42    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
    66/54    0.000    0.000    0.001    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       91    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.184    0.184 sceneobject.py:1(<module>)
        1    0.000    0.000    0.002    0.002 format.py:136(<module>)
       44    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       12    0.000    0.000    0.001    0.000 inspect.py:804(getargspec)
       30    0.000    0.000    0.078    0.003 re.py:188(compile)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        3    0.000    0.000    0.003    0.001 argparse.py:1171(__init__)
        4    0.000    0.000    0.002    0.000 argparse.py:1252(add_argument)
        1    0.000    0.000    0.002    0.002 utils.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       51    0.000    0.000    0.000    0.000 {repr}
       12    0.000    0.000    0.001    0.000 abc.py:105(register)
       38    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       21    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
        1    0.000    0.000    0.000    0.000 material.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       21    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.002    0.002 difflib.py:27(<module>)
       74    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.001    0.001 tempfile.py:176(_get_default_tempdir)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        2    0.000    0.000    0.000    0.000 ImageShow.py:128(which)
        4    0.000    0.000    0.001    0.000 argparse.py:154(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
       23    0.000    0.000    0.002    0.000 core.py:5992(__init__)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {hasattr}
       48    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        9    0.000    0.000    0.001    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 camera.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {dir}
       12    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
       45    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
        1    0.000    0.000    0.002    0.002 numbers.py:6(<module>)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.006    0.006 sceneparser.py:15(parseFile)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.001    0.001 Image.py:1902(fromarray)
        3    0.000    0.000    0.000    0.000 {posix.urandom}
       34    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        3    0.000    0.000    0.003    0.001 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:45(group)
        3    0.000    0.000    0.000    0.000 {function seed at 0xb62ef5dc}
       46    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       12    0.000    0.000    0.000    0.000 random.py:271(choice)
        1    0.000    0.000    0.004    0.004 Image.py:497(_dump)
        3    0.000    0.000    0.000    0.000 posixpath.py:336(normpath)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        3    0.000    0.000    0.000    0.000 argparse.py:1389(_get_optional_kwargs)
       38    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.006    0.006 argparse.py:1545(__init__)
